Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2015-04-01,124.82,125.120003,123.099998,124.25,40621400,119.463174,122.3761274,125.6009999,128.8258723,Decreasing
2015-04-02,125.029999,125.559998,124.190002,125.32,32220100,120.491951,122.3330336,125.5034998,128.673966,Increasing
2015-04-06,124.470001,127.510002,124.330002,127.349998,37194000,122.443743,122.374816,125.4528332,128.5308505,Increasing
2015-04-07,127.639999,128.119995,125.980003,126.010002,35012300,121.155371,122.4030622,125.4251665,128.4472708,Decreasing
2015-04-08,125.849998,126.400002,124.970001,125.599998,37329200,120.761163,122.4277133,125.4491664,128.4706195,Decreasing
2015-04-09,125.849998,126.580002,124.660004,126.559998,32484000,121.684177,122.7775359,125.5938332,128.4101305,Increasing
2015-04-10,125.949997,127.209999,125.260002,127.099998,40188000,122.203374,123.0398914,125.7369999,128.4341085,Increasing
2015-04-13,128.369995,128.570007,126.610001,126.849998,36365100,121.963006,123.272819,125.9113334,128.5498477,Decreasing
2015-04-14,127,127.290001,125.910004,126.300003,25524600,121.434199,123.487134,126.0235002,128.5598665,Decreasing
2015-04-15,126.410004,127.129997,126.010002,126.779999,28970400,121.895703,123.4871301,126.0220001,128.5568702,Increasing
2015-04-16,126.279999,127.099998,126.110001,126.169998,28369000,121.309203,123.5664037,125.945,128.3235962,Decreasing
2015-04-17,125.550003,126.139999,124.459999,124.75,51957000,119.943911,123.6022692,125.7983332,127.9943973,Decreasing
2015-04-20,125.57,128.119995,125.169998,127.599998,47054300,122.684112,123.5867451,125.8221664,128.0575877,Increasing
2015-04-21,128.100006,128.199997,126.669998,126.910004,32435100,122.020699,123.5817266,125.8254998,128.069273,Decreasing
2015-04-22,126.989998,128.869995,126.32,128.619995,37654500,123.664812,123.5019782,125.8674998,128.2330214,Increasing
2015-04-23,128.300003,130.419998,128.139999,129.669998,45770900,124.674363,123.3716821,126.1116665,128.8516508,Increasing
2015-04-24,130.490005,130.630005,129.229996,130.279999,44525900,125.260863,123.3764705,126.4186666,129.4608626,Decreasing
2015-04-27,132.309998,133.130005,131.149994,132.649994,96954200,127.539552,123.128271,126.8531664,130.5780619,Increasing
2015-04-28,134.460007,134.539993,129.570007,130.559998,118924000,125.530074,122.9533691,127.1514997,131.3496302,Decreasing
2015-04-29,130.160004,131.589996,128.300003,128.639999,63386100,123.684046,123.165847,127.372333,131.578819,Decreasing
2015-04-30,128.639999,128.639999,124.580002,125.150002,83195400,120.328503,123.4832179,127.4706663,131.4581147,Decreasing
2015-05-01,126.099998,130.130005,125.300003,128.949997,58512600,123.9821,123.7928685,127.6258331,131.4587977,Increasing
2015-05-04,129.5,130.570007,128.259995,128.699997,50988300,123.741732,123.9186426,127.764833,131.6110235,Decreasing
2015-05-05,128.149994,128.449997,125.779999,125.800003,49271400,120.953462,123.91582,127.7634997,131.6111794,Decreasing
2015-05-06,126.559998,126.75,123.360001,125.010002,72141000,120.193897,123.8088193,127.7326664,131.6565135,Decreasing
2015-05-07,124.769997,126.080002,124.019997,125.260002,43940900,120.93733,123.6785663,127.6919997,131.705433,Increasing
2015-05-08,126.68,127.620003,126.110001,127.620003,55550400,123.215888,123.7345408,127.7216665,131.7087922,Increasing
2015-05-11,127.389999,127.559998,125.629997,126.32,42035800,121.960747,123.6599205,127.6796663,131.6994121,Decreasing
2015-05-12,125.599998,126.879997,124.82,125.870003,48160000,121.526279,123.5804905,127.6474995,131.7145084,Increasing
2015-05-13,126.150002,127.190002,125.870003,126.010002,34694200,121.661447,123.5504423,127.633333,131.7162236,Decreasing
2015-05-14,127.410004,128.949997,127.160004,128.949997,45203500,124.499984,123.6706007,127.7279997,131.7853986,Increasing
2015-05-15,129.070007,129.490005,128.210007,128.770004,38208000,124.326203,124.0144574,127.9133333,131.8122092,Decreasing
2015-05-18,128.380005,130.720001,128.360001,130.190002,50882900,125.697198,124.100497,128.0530002,132.0055033,Increasing
2015-05-19,130.690002,130.880005,129.639999,130.070007,44633200,125.581344,124.1588765,128.1998337,132.2407909,Decreasing
2015-05-20,130,130.979996,129.339996,130.059998,36454900,125.571679,124.1850087,128.3093337,132.4336587,Increasing
2015-05-21,130.070007,131.630005,129.830002,131.389999,39730400,126.855783,124.1273816,128.3863339,132.6452861,Increasing
2015-05-22,131.600006,132.970001,131.399994,132.539993,45596000,127.966091,123.9598963,128.499167,133.0384377,Increasing
2015-05-26,132.600006,132.910004,129.119995,129.619995,70697600,125.146861,124.1087609,128.411167,132.7135731,Decreasing
2015-05-27,130.339996,132.259995,130.050003,132.039993,45833200,127.483346,124.1188009,128.4058336,132.6928663,Increasing
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,127.232324,124.0226213,128.5108337,132.999046,Decreasing
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,125.784088,124.300709,128.7318334,133.1629579,Decreasing
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,126.03511,124.3594994,128.8584999,133.3575004,Increasing
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,125.475139,124.3747459,128.8986669,133.4225879,Increasing
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,125.629606,124.6367699,129.0808335,133.524897,Decreasing
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,124.895839,125.2683798,129.3096669,133.3509539,Decreasing
2015-06-05,129.5,129.690002,128.360001,128.649994,35626800,124.210334,125.9332746,129.4986668,133.064059,Decreasing
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,123.389676,126.0685551,129.5401669,133.0117786,Decreasing
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,123.022785,126.1824915,129.5670003,132.9515092,Increasing
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,124.432408,126.7463818,129.708667,132.6709521,Increasing
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,124.152407,127.2892578,129.845,132.4007421,Decreasing
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,122.781413,127.131001,129.8041667,132.4773323,Decreasing
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,122.54004,126.7060981,129.6941663,132.6822346,Increasing
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,123.196574,126.4016896,129.5699996,132.7383095,Increasing
2015-06-17,127.720001,127.879997,126.739998,127.300003,32918100,122.906931,126.1238847,129.4254994,132.727114,Decreasing
2015-06-18,127.230003,128.309998,127.220001,127.879997,35407200,123.46691,125.9515598,129.3093328,132.6671058,Increasing
2015-06-19,127.709999,127.82,126.400002,126.599998,54716900,122.231083,125.6885656,129.1088327,132.5290998,Decreasing
2015-06-22,127.489998,128.059998,127.080002,127.610001,34039300,123.206231,125.7264205,128.8728329,132.0192453,Increasing
2015-06-23,127.480003,127.610001,126.879997,127.029999,30268900,122.646244,125.5733485,128.7039996,131.8346507,Decreasing
2015-06-24,127.209999,129.800003,127.120003,128.110001,55280900,123.688976,125.6811976,128.5486666,131.4161355,Increasing
2015-06-25,128.860001,129.199997,127.5,127.5,31938100,123.100026,125.8677152,128.3714998,130.8752844,Decreasing
2015-06-26,127.669998,127.989998,126.510002,126.75,44066800,122.375908,125.8452624,128.1985,130.5517375,Decreasing
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,120.232518,125.5007067,127.9235001,130.3462935,Decreasing
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,121.101461,125.2434909,127.6979999,130.1525088,Decreasing
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,122.231083,125.319636,127.5075,129.6953639,Decreasing
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,122.076609,125.3221027,127.3416666,129.3612304,Increasing
2015-07-06,124.940002,126.230003,124.849998,126,28060400,121.65179,125.172968,127.1813333,129.1896986,Increasing
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,121.352491,124.8939059,127.0441664,129.194427,Decreasing
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,118.340158,124.1418974,126.8546664,129.5674354,Decreasing
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,115.926432,122.9127426,126.4759997,130.0392568,Decreasing
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,119.025655,122.4632754,126.1608332,129.8583911,Increasing
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,121.323527,122.3846331,126.0463333,129.7080335,Increasing
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,121.27525,122.343664,125.9988335,129.6540029,Decreasing
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,122.443492,122.3439159,125.9610002,129.5780846,Increasing
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,124.075166,122.3059902,126.0028336,129.699677,Increasing
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,125.146861,122.1959647,126.0718335,129.9477023,Increasing
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,127.512324,121.6892041,126.3205002,130.9517963,Increasing
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,126.23787,121.4079709,126.5078336,131.6076963,Decreasing
2015-07-22,121.989998,125.5,121.989998,125.220001,115450600,120.898709,121.1778138,126.3610003,131.5441868,Increasing
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,120.840782,121.1251692,126.2323335,131.3394978,Decreasing
2015-07-24,125.32,125.739998,123.900002,124.5,42162300,120.203555,120.989315,126.0646669,131.1400187,Decreasing
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,118.533253,120.6120011,125.8521669,131.0923327,Decreasing
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,119.122203,120.4054683,125.7581669,131.1108655,Increasing
2015-07-29,123.150002,123.5,122.269997,122.989998,37011700,118.745662,120.1369622,125.6306668,131.1243713,Decreasing
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,118.147063,119.7438845,125.4160002,131.0881158,Increasing
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,117.113989,119.2924998,125.1818336,131.0711674,Decreasing
2015-08-03,121.5,122.57,117.519997,118.440002,69976000,114.352685,118.4943027,124.8726669,131.2510311,Decreasing
